name	balance	scorumpower	posting_rewards_sp	curation_rewards_sp	post_count	comment_count	
babylondon204	495.585867530 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
babypanda	568.950000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
backpacker	272.265209940 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
badar2248	49.594558967 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
badayarajesh	231.882000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
badbull	109.685555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
badders	228.076343536 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
baessi1	1999.677266668 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
baesungweon	3500.033333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
bagacrypto10	36.652476301 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
bahridjamel2018	80.210061000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
balexander711	102.547000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
baltha83	977.300000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
bandar	1089.270976973 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
bankshuang0318	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
baolong9393	148.160000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
barnstorm	844.990000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
baronscherov	1323.416683530 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
barrister5741	133.860859000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
barrybonds	75.958000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
bartiemich	1461.691538670 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
baseballcrypto	1448.812892000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
basemalramis13	100.399999999 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
basheer1966	43.208888890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
